CodeOriginal,Name,Native,Region,Site,Duration,Lifeform
ACASPP,Acalypha spp.,Native/Unknown,Sonoran SE,NA,NA,NA
AMASPP,Amaranthus spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
AMBSPP,Ambrosia spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
ANOSPP,Anoda spp.,Native,Sonoran SE,NA,NA,NA
ARISPP,Aristida spp.,Native,Sonoran SE,NA,NA,NA
ARSPP,Artemisia spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
ASTSPP,Astragalus spp.,Native/Unknown,Sonoran SE,NA,NA,NA
ATSP,Atriplex spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
BOSPP,local Bouteloua species (unknown),Native,Colorado Plateau,NA,NA,NA
BOUSPP,Bouteloua spp.,Native,Sonoran SE,NA,NA,NA
BRASPP,Brassica spp. (likely DEPI),Native/Unknown,Sonoran SE,NA,NA,NA
CALSPP,Calandrinia spp.,Native,Sonoran SE,NA,NA,NA
CHAMA,Chamaesyce spp.,Native,Chihuahuan,NA,NA,NA
CHASPP,Chaenactis spp.,Native,Mojave,NA,NA,NA
CHEN,Unknown chenopod,Native/Unknown,Colorado Plateau,NA,NA,NA
CHESPP,Chenopodium spp.,Unknown,Sonoran SE,NA,NA,NA
CRYPT,Cryptantha spp.,Native,Sonoran Central,NA,NA,NA
CRYSPP,Cryptantha spp.,Native,Colorado Plateau,NA,NA,NA
CRYSPP,Cryptantha spp.,Native,Mojave,NA,NA,NA
CRYSPP,Cryptantha spp.,Native,Sonoran SE,NA,NA,NA
DRABA,Draba spp.,Native/Unknown,Utah,NA,NA,NA
ELSPP,Elymus spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
ERASPP,"Eragrostis spp., ERCU or ERLE",Introduced,Sonoran SE,NA,NA,NA
ERIASPP,Eriastrum spp.,Native,Sonoran SE,NA,NA,NA
ERIOG,Eriogonum sp.,Native,Sonoran Central,NA,NA,NA
ERISP,Eriogonum spp.,Native,Colorado Plateau,NA,NA,NA
ERISPP,Erigeron spp.,Native,Sonoran SE,NA,NA,NA
Eriogonum,Eriogonum spp.,Native,Chihuahuan,NA,NA,NA
GILSPP,Gilia spp.,Native,Colorado Plateau,NA,NA,NA
GILSPP,Gilia spp.,Native,Mojave,NA,NA,NA
GILSPP,Gilia spp.,Native,Sonoran SE,NA,NA,NA
HESP,Heliomeris spp.,Native,Colorado Plateau,NA,NA,NA
LEPSPP,Lepidium spp.,Native/Unknown,Mojave,NA,NA,NA
LUPSPP,Lupinus spp.,Native/Unknown,Sonoran SE,NA,NA,NA
LUSPP,Lupinus spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
MACSPP,Machaeranthera spp.,Native,Colorado Plateau,NA,NA,NA
MENSPP,Mentzelia spp.,Native,Mojave,NA,NA,NA
MENSPP,Mentzelia spp.,Native,Sonoran SE,NA,NA,NA
OESP,Oenothera spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
PANSPP,Panicum spp.,Native,Sonoran SE,NA,NA,NA
PECSPP,Pectocarya spp.,Native,Mojave,NA,NA,NA
PHSPP,Phacelia spp.,Native,Colorado Plateau,NA,NA,NA
PLASPP,Plantago spp.,Unknown,Sonoran SE,NA,NA,NA
PORSPP,Portulaca spp.,Native,Colorado Plateau,NA,NA,NA
PORSPP,Portulaca spp.,Native,Sonoran SE,NA,NA,NA
PROACASPP,Mesquite/Acacia spp.,Native/Unknown,Sonoran SE,NA,NA,NA
SIDSPP,Sida spp.,Native/Unknown,Sonoran SE,NA,NA,NA
SOSP,Solanum spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
SPSP,Sphaeralcea spp.,Native/Unknown,Colorado Plateau,NA,NA,NA
SPSP,Sphaeralcea spp.,Native/Unknown,Utah,NA,NA,NA
STISPP,Stipa spp.,Native/Unknown,Mojave,NA,NA,NA
Trifolium,Trifolium sp.,Unknown,Chihuahuan,NA,NA,NA
UNDPF,Unknown dead pod forb,Unknown,Sonoran SE,NA,NA,NA
UNDSF,Unknown dead spikey forb,Unknown,Sonoran SE,NA,NA,NA
UNFO-1,"Unknown forb (Patagonia); Soft and fuzzy/hairy, serated leaves with middle vein underneath on bottom side of the leaf, pickle smell",Unknown,Sonoran SE,NA,NA,NA
UNFO-1,"Unknown forb (SRER); Umbilliferae family, thin lacey divided leaves with small white flowers in umbels at the top",Unknown,Sonoran SE,NA,NA,NA
UNFO-2,Unknown forb (SRER); Super hairy almost spikey looking with pinately lobed leaves,Unknown,Sonoran SE,NA,NA,NA
UNFO-3,"Unknown forb (SRER); Androsace species (or possibly a cynquifoil), small basal leaves typically with a reddish color, with a reddish long thin stem, with artichoke head-like tops",Unknown,Sonoran SE,NA,NA,NA
UNFO-4,"Unknown forb (SRER); Possibly a Linum species (Flax), basal rosette, narrow rounded leaves opposite along and close to an upright stem",Unknown,Sonoran SE,NA,NA,NA
UNFO1,Unknown forb (Patagonia and SRER are same); upright mustard with tiny blueish flower,Unknown,Sonoran SE,NA,NA,NA
UNFO1,"Unknown forb (SRER); Tiny yellow flowers, forked leaves",Unknown,Sonoran SE,NA,NA,NA
UNFO1A,"Unknown forb (Patagonia, Nov 2019) = Darker Green, 5 petals radiating out",Unknown,Sonoran SE,NA,NA,NA
UNFO2,"Unknown forb (Patagonia); low to ground, succulenty, tiny white flowers, similar to purslane",Unknown,Sonoran SE,NA,NA,NA
UNFO3,Unknown forb (Patagonia); upright mustard with small pods and tiny yellow flowers,Unknown,Sonoran SE,NA,NA,NA
UNFO3,"Unknown forb (SRER); tiny reddish basal leaves, star-like petals",Unknown,Sonoran SE,NA,NA,NA
UNFO4,"Unknown forb (SRER); very hairy radiating out/up, fuzzy rosettes",Unknown,Sonoran SE,NA,NA,NA
UNFO5,"Unknown forb (Patagonia); Similar to dandelion, yellow closed flowers",Unknown,Sonoran SE,NA,NA,NA
UNFO5,Unknown forb (SRER); Little carrot with tiny white flowers and thin leaves,Unknown,Sonoran SE,NA,NA,NA
UNFO6,"Unknown forb; green, young, radiating basal leaves; slightly fuzzy; Patagonia",Unknown,Sonoran SE,NA,NA,NA
UNFO6,"Unknown forb (SRER); Very small, long slender leaves, fuzzy, leaf toothed around margins. Possibly Heterotheca grandiflora",Unknown,Sonoran SE,NA,NA,NA
UNFO_P_1,Unknown forb; small reddish purple rosette with ovate leaves (Spring 2021),Unknown,Sonoran SE,NA,NA,NA
UNFO_P_2,"Unknown forb; Pinated leaves, upright rosette, lighter green, Ambrosia?  (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFO_P_3,"Unknown forb; Fabeacea (pea), long and spindly (Spring 2021)",Unknown,Sonoran SE,NA,NA,NA
UNFO_P_4,"Unkown forb; Unknown Fabeacea (Pea), short and fuzzy, chunky, Acmispon Brachycarpus? (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFO_P_5,"Unknown forb; Prominent mid-vein, leaf doesn't completely surround/there's good amount of petiole, ovate leaves that're slightly speckled, oenothera? (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFO_P_6,"Unknown forb; Super tiny, red thin stem like SAIB but the top leaves are compounded with 3 leaflets, Amaranthaceae? (Spring 2021)",Unknown,Sonoran SE,NA,NA,NA
UNFO_P_7,"Unknown forb; Rosette leaves slightly fuzzy and silvery light green. simple leaves, smells like bandaids (Spring 2021)",Unknown,Sonoran SE,NA,NA,NA
UNFO_S_1,"Unknown forb; Purple vine, sagitate leaves (Spring 2021)",Unknown,Sonoran SE,NA,NA,NA
UNFO_S_3,"Unknown forb; Fuzzy green penately arranged leaflets, partially pinated lobes ""thick poppy"" possibly an ambrosia (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFO_S_4,"Unknown forb; Super tiny, very spikey, pinately lobed, possible cryptantha or plagiobothrys (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFO_S_5,"Unknown forb; Silky hairy fuzzy, straight leaves, no prominent veination, pseudognaphalium? (Spring 2021)",Unknown,Sonoran SE,NA,NA,NA
UNFO_S_7,"Unknown forb; ""artichoke head"", stem leaves alternate, basal rosette, possibly cryptantha? (Spring 2021)",Native/Unknown,Sonoran SE,NA,NA,NA
UNFS,Unknown forb seedling,Unknown,Sonoran SE,NA,NA,NA
UNGR1,Unknown grass (SantaRita); Possibly BOER or Aristida spp (so likely unseeded),Native,Sonoran SE,NA,NA,NA
UNGRS1,"Unknown grass (Patagonia);Unk. grass seedling, bunchy, possible lovegrass?",Unknown,Sonoran SE,NA,NA,NA
UNGRS1,"Unknown grass (SRER); Small tuft grass, bouteloua like growth, heads as nodes",Native/Unknown,Sonoran SE,NA,NA,NA
UNGRS1,"Unknown grass seedling (SRER), but most likely ERLE, spring 2022",Introduced,Sonoran SE,NA,NA,NA
UNGRS2,"Unknown grass (Patagonia); Unk grass seedling, leaf divided early like BOGR, possible lovegrass?",Unknown,Sonoran SE,NA,NA,NA
UNGRS3,"Unknown grass (Patagonia); Lighter green, thin leaves, possible threeawn?",Native,Sonoran SE,NA,NA,NA
UNGR_P_1,Unknown grass; Possibly small ARIsp. (Spring 2021),Native,Sonoran SE,NA,NA,NA
UNGR_S_1,Unknown grass; Grass seedling short erose ligule slight chance ARPU because of 45 degree leaf or possibly a Vulpia sp. like VUOC (Spring 2021),Native/Unknown,Sonoran SE,NA,NA,NA
UNGR_S_2,Unknown grass; Possibly a BOCU or another Bouteloua (Spring 2021),Native,Sonoran SE,NA,NA,NA
UNSFF,"Unknown shrubby fuzzy forb, munched down",Unknown,Sonoran SE,NA,NA,NA
UNSH,Unknown shrub,Unknown,Colorado Plateau,NA,NA,NA
UNSHR-1,Unknown shrub (Patagonia); mesquite or acacia,Native,Sonoran SE,NA,NA,NA
Unk bunchGrass #1,Could be BOCU,Native/Unknown,Sonoran Central,NA,NA,NA
Unk grass,Unknown likely associated with warm seed mix,Native/Unknown,Sonoran Central,NA,NA,NA
Unk heart,Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there),Unknown,Sonoran Central,NA,NA,NA
Unk sp.,Unknown species,Unknown,Sonoran Central,NA,NA,NA
UnkATCA,Unknown shrub; Possible Atriplex canescens,Native/Unknown,Chihuahuan,NA,NA,NA
Unkcrypt,"Unknown forb; Tiniest of forbs that while can distinguish from other species, cannot ID bc no distinguishing characteristics. Looks like it could turn into a cryptantha? But maybe not.",Native/Unknown,Chihuahuan,NA,NA,NA
Unkcrypt,Cryptantha spp.,Native,Chihuahuan,NA,NA,NA
Unkfabaceae,Unknown fabaceae,Unknown,Chihuahuan,NA,NA,NA
Unkforb,"Unknown forb; Like the generic ""Unkgrass"" unkforb is an unknown forb that has no distinguishing characteristics other than being a forb, thus a few are lumped into this category.",Unknown,Chihuahuan,NA,NA,NA
Unkforb,Unknown forb,Unknown,Chihuahuan,NA,NA,NA
Unkforb1,Unknown forb,Unknown,Chihuahuan,NA,NA,NA
Unkgrass,Unknown grass; A small unknown grass that has no disstinguishing characteristics and cannot be parsed out from other Unkgrass species.,Unknown,Chihuahuan,NA,NA,NA
Unkgrass,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unkgrass2,Unknown grass,Unknown,Chihuahuan,NA,NA,NA
Unksalsola,Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks.,Unknown,Chihuahuan,NA,NA,NA
Unksalsola,Unknown forb,Unknown,Chihuahuan,NA,NA,NA
Unksporo,Unknown grass; Sporobolus and Eragrostis,Unknown,Chihuahuan,NA,NA,NA
Unksporob,Unknown grass; Unknown (Seeed plants) that look like they are in the Sporobolus genus (with distinct first cotyledons). So small cannot be sure but only way to distinguish between other grasses at this tiny stage.,Native,Chihuahuan,NA,NA,NA
Unksporob,Sporobolus spp.,Native,Chihuahuan,NA,NA,NA
AmaranthusSpp,Amaranthus spp.,Native/Unknown,Colorado Plateau,FlyingM,Unknown,Forb
CRYSPP 1,Cryptantha spp. 1,Native,Sonoran SE,SRER,Unknown,Forb
CRYSPP 2,Cryptantha spp. 2,Native,Sonoran SE,SRER,Unknown,Forb
CRYSPP2,Cryptantha spp. 3,Native,Sonoran SE,SRER,Unknown,Forb
ERIGSPP,Erigonum spp.,Native,Utah,UtahPJ,Unknown,Forb
Eriogonum sp.,Erigonum spp.,Native,Utah,UtahPJ,Unknown,Forb
FESSPP,Fescue spp.,Native,Sonoran SE,SRER,Unknown,Grass
GILSPP 1,Gilia spp. 1,Native,Sonoran SE,SRER,Unknown,Forb
GILSPP 2,Gilia spp. 2,Native,Sonoran SE,SRER,Unknown,Forb
LUSP,Lupinus spp.,Native/Unknown,Colorado Plateau,AguaFria,Unknown,Forb
S-UNFO2,Seeded unknown forb 2,Native,Utah,CRC,Unknown,Forb
S-UNFO2,Seeded unknown forb 2,Native,Utah,Salt_Desert,Unknown,Forb
S-UNGR1,Seeded unknown grass 1,Native,Utah,CRC,Unknown,Grass
S-UNGR1,Seeded unknown grass 1,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,CRC,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR2,Seeded unknown grass 2,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,CRC,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,Salt_Desert,Unknown,Grass
S-UNGR3,Seeded unknown grass 3,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR4,Seeded unknown grass 4,Native,Utah,CRC,Unknown,Grass
S-UNGR4,Seeded unknown grass 4,Native,Utah,UtahPJ,Unknown,Grass
S-UNGR5,Seeded unknown grass 5,Native,Utah,UtahPJ,Unknown,Grass
SUNGR,Seeded unknown grass,Native,Colorado Plateau,TLE,Unknown,Shrub
SUNGR,Seeded unknown grass,Native,Colorado Plateau,BabbittPJ,Unknown,Shrub
UCHEN1,Unknown chenopod 1,Unknown,Colorado Plateau,PEFO,Unknown,Forb
UCHEN2,Unknown chenopod 2,Unknown,Colorado Plateau,PEFO,Unknown,Forb
UNFO,Unknown forb,Unknown,Colorado Plateau,FlyingM,Unknown,Forb
UNFO,Unknown forb,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO-5,Unknown forb 5,Unknown,Sonoran SE,SRER,Unknown,Forb
UNFO10,Unknown forb 10,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO11,Unknown forb 11,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO12,Unknown forb 12,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO13,Unknown forb 13,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO14,Unknown forb 14,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO16,Unknown forb 16,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO2A,Unknown forb 2A,Unknown,Mojave,AVRCD,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,AguaFria,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,FlyingM,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO7,Unknown forb 7,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,AguaFria,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Colorado Plateau,Spiderweb,Unknown,Forb
UNFO8,Unknown forb 8,Unknown,Utah,UtahPJ,Unknown,Forb
UNFO9,Unknown forb 9,Unknown,Colorado Plateau,BarTBar,Unknown,Forb
UNFO9,Unknown forb 9,Unknown,Utah,UtahPJ,Unknown,Forb
UNGR,Unknown grass,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,BabbittPJ,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,BarTBar,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,FlyingM,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,Spiderweb,Unknown,Grass
UNGR,Unknown grass,Unknown,Colorado Plateau,TLE,Unknown,Grass
UNGR,Unknown grass,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR2,Unknown grass 2,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Colorado Plateau,PEFO,Unknown,Grass
UNGR3,Unknown grass 3,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Colorado Plateau,MOWE,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Utah,Salt_Desert,Unknown,Grass
UNGR4,Unknown grass 4,Unknown,Utah,UtahPJ,Unknown,Grass
UNGR5,Unknown grass 5,Unknown,Colorado Plateau,AguaFria,Unknown,Grass
UNGRS-1,Unknown grass 1,Unknown,Sonoran SE,SRER,Unknown,Grass
UNK Fuzzy astr,Unknown fuzzy aster,Unknown,Chihuahuan,Mesquite,Unknown,Forb
UNK brown,Unknown brown,Unknown,Sonoran Central,SCC,Unknown,Unknown
UNK heart,Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there),Unknown,Sonoran Central,Preserve,Unknown,Forb
UNKM,Unknown M,Unknown,Colorado Plateau,PEFO,Unknown,Unknown
UnkForb,Unknown forb,Unknown,Chihuahuan,Mesquite,Unknown,Forb
UnkForb1,Unknown forb 1,Unknown,Chihuahuan,Creosote,Unknown,Forb
Unkaster,Unknown aster,Unknown,Chihuahuan,Mesquite,Unknown,Forb
unk grass 2,Unknown grass 2,Unknown,Sonoran Central,Roosevelt,Unknown,Grass
